;Ref no;Title;XJ;GPT;r.comment
;1;Distribution and compartmentalization of human circulating and tissue-resident memory T cell subsets;NO;NO;This paper is about the distribution and compartmentalization of memory T cell subsets in human tissues and does not specifically focus on Primary Sclerosing Cholangitis (PSC).
;2;A High-Dimensional Atlas of Human T Cell Diversity Reveals Tissue-Specific Trafficking and Cytokine Signatures;NO;NO;This study focuses on T cell diversity and immune responses across different human tissues, not specifically on Primary Sclerosing Cholangitis (PSC).
;3;Human Innate Lymphoid Cell Subsets Possess Tissue-Type Based Heterogeneity in Phenotype and Frequency;NO;NO;
;4;Unsupervised High-Dimensional Analysis Aligns Dendritic Cells across Tissues and Species;NO;No;This paper focuses on developing a method to identify and analyze dendritic cells across different tissues and species, without specific mention of PSC or liver diseases.
;5;An atlas of B-cell clonal distribution in the human body;NO;NO;The paper focuses on mapping B-cell clonal distributions in the human body and does not specifically address Primary Sclerosing Cholangitis (PSC) or its pathology.
;6;Tissue-resident macrophages self-maintain locally throughout adult life with minimal contribution from circulating monocytes.;NO;NO;"This paper is about the self-maintenance of tissue-resident macrophages and their minimal reliance on circulating monocytes; it doesn't address Primary Sclerosing Cholangitis specifically."
;7;Antigen-independent differentiation and maintenance of effector-like resident memory T cells in tissues;NO;NO;This paper discusses the differentiation and maintenance of effector memory T cells, particularly tissue-resident memory T cells, in the context of antigen stimulation, but it does not address Primary Sclerosing Cholangitis (PSC).
;8;Cutting edge: gut microenvironment promotes differentiation of a unique memory CD8 T cell population;NO;NO;This paper studies the influence of the gut microenvironment on the differentiation of memory CD8 T cells and doesn't mention Primary Sclerosing Cholangitis (PSC).
;9;Human Tissue-Resident Memory T Cells Are Defined by Core Transcriptional and Functional Signatures in Lymphoid and Mucosal Sites;NO;NO;The paper is about characterizing human tissue-resident memory T cells, not specifically related to Primary Sclerosing Cholangitis.
;10;Primary sclerosing cholangitis - a comprehensive review.;YES;YES;This paper is a comprehensive review of Primary Sclerosing Cholangitis (PSC), discussing patient stratification, disease behavior, management options, and ongoing research on therapy development.
;11;Emerging insights into natural killer cells in human peripheral tissues;NO;NO;This paper is about the development, differentiation, and function of human natural killer (NK) cells, specifically in peripheral tissues, and does not focus on Primary Sclerosing Cholangitis (PSC) disease.
;12;Quantifying Memory CD8 T Cells Reveals Regionalization of Immunosurveillance;NO;No;The paper is about the regional distribution and behavior of memory CD8 T cells and their role in immunosurveillance, not about Primary Sclerosing Cholangitis (PSC).
;13;Tissue residency of innate lymphoid cells in lymphoid and nonlymphoid organs;NO;NO;This paper focuses on the role of innate lymphoid cells in tissue immunity and homeostasis, not specifically on research related to Primary Sclerosing Cholangitis (PSC).
;15;Hallmarks of Tissue-Resident Lymphocytes;NO;NO;The paper primarily discusses tissue-resident lymphocytes and their roles in non-lymphoid organs, without specifically focusing on PSC or related liver diseases.
;16;Intraepithelial lymphocytes.;NO;NO;This paper is about intraepithelial lymphocytes in mucosal and barrier tissues and does not specifically mention Primary Sclerosing Cholangitis (PSC) or any research related to it.
;18;Human intraepithelial lymphocytes;NO;NO;The paper focuses on the role of human intraepithelial lymphocytes in the immune response of the intestine and discusses their involvement in celiac disease, not PSC (Primary Sclerosing Cholangitis).
;19;The developmental pathway for CD103(+)CD8+ tissue-resident memory T cells of skin;NO;NO;This paper focuses on the development and differentiation of tissue-resident memory T cells in the skin and does not mention Primary Sclerosing Cholangitis or liver disease.
;20;Location, location, location: Tissue resident memory T cells in mice and humans;NO;NO;This paper focuses on the roles of tissue-resident memory T cells in adaptive immunity and does not mention or relate specifically to Primary Sclerosing Cholangitis (PSC).
;21;Tissue-Resident Memory T Cells and Fixed Immune Surveillance in Nonlymphoid Organs;NO;NO;This paper focuses on tissue-resident memory T cells and their role in immune surveillance in nonlymphoid organs, not specifically on Primary Sclerosing Cholangitis (PSC).
;22;Human memory T cells: generation, compartmentalization and homeostasis;NO;No;This paper focuses on memory T cells and their properties in humans, not specifically on PSC or any liver-related conditions.
;23;Primary sclerosing cholangitis;YES;YES;The research is about primary sclerosing cholangitis (PSC), detailing its link with inflammatory bowel disease, progression, current treatments, and potential new paths for therapeutic development.
;24;Primary Sclerosing Cholangitis;YES;YES;The title indicates that the paper is directly about Primary Sclerosing Cholangitis (PSC), even though the abstract is not available.
;26;Characterization of biliary intra-epithelial lymphocytes at different anatomical levels of intrahepatic bile ducts under normal and pathological conditions: numbers of CD4+CD28- intra-epithelial lymphocytes are increased in primary biliary cirrhosis.;NO;NO;The paper focuses on characterizing lymphocytes in primary biliary cirrhosis (PBC) and other liver diseases, with only a brief mention of PSC, not as a primary focus of research.
;27;"Preferential accumulation of CD103+ T cells in human livers; its association with extrathymic T cells.";NO;NO;"This paper is not specifically about Primary Sclerosing Cholangitis (PSC); it focuses on the characterization and localization of CD103+ T cells in human livers, which may relate to liver immunology but not directly to PSC."
;28;IL-2<sup>high</sup> tissue-resident T cells in the human liver: Sentinels for hepatotropic infection.;NO;NO;The paper is focused on tissue-resident memory T cells in the context of hepatitis B virus infection and liver immunology, not on Primary Sclerosing Cholangitis (PSC).
;29;Human Liver Memory CD8<sup>+</sup> T Cells Use Autophagy for Tissue Residence;NO;NO;This paper focuses on the role of autophagy in human liver memory CD8<sup>+</sup> T cells and their tissue residence, not on PSC (Primary Sclerosing Cholangitis).
;;Human Liver Memory CD8<sup>+</sup> T Cells Use Autophagy for Tissue Residence;NO;NO;This paper focuses on the role of autophagy in human liver memory CD8<sup>+</sup> T cells and their tissue residence, not on PSC (Primary Sclerosing Cholangitis).
;30;Development, Homeostasis, and Functions of Intestinal Intraepithelial Lymphocytes.;NO;NO;This paper focuses on the biology of intestinal intraepithelial lymphocytes and their role in the intestinal immune system, not specifically on PSC.
;31;Loss of CD28 expression by liver-infiltrating T cells contributes to pathogenesis of primary sclerosing cholangitis;YES;YES;This research investigates the role of CD28(-) T cells in the pathogenesis of Primary Sclerosing Cholangitis (PSC) and their regulation by vitamin D, highlighting immune mechanisms contributing to the disease.
;32;Programs for the persistence, vigilance and control of human CD8<sup>+</sup> lung-resident memory T cells;NO;NO;This paper is about the characteristics and maintenance of lung-resident memory T cells, focusing on their role in respiratory infections, not related to PSC.
;33;Survival of tissue-resident memory T cells requires exogenous lipid uptake and metabolism;NO;NO;This paper is about the role of lipid metabolism in the survival of tissue-resident memory T cells and is not directly related to PSC, which primarily concerns liver disease associated with bile duct inflammation.
;34;Heterogeneity and clonal relationships of adaptive immune cells in ulcerative colitis revealed by single-cell analyses;NO;NO;This paper is about the immune cell dynamics in ulcerative colitis, which is a type of inflammatory bowel disease, and does not specifically address primary sclerosing cholangitis (PSC).
;35;Liver-Resident Memory CD8<sup>+</sup> T Cells Form a Front-Line Defense against Malaria Liver-Stage Infection.;NO;NO;This paper is about malaria and the role of liver-resident memory CD8<sup>+</sup> T cells in immunity against malaria liver-stage infection, not about Primary Sclerosing Cholangitis (PSC).
;36;Peripheral Tissue Chemokines: Homeostatic Control of Immune Surveillance T Cells.;NO;NO;This paper is about the role of chemokines in immune cell localization and tissue immune surveillance, not specifically about Primary Sclerosing Cholangitis (PSC).
;37;Chemokines and chemokine receptors: positioning cells for host defense and immunity;NO;NO;This paper focuses on the role of chemokines and chemokine receptors in immune cell migration and immune responses, not specifically on Primary Sclerosing Cholangitis disease.
;38;Lymphocyte recruitment and homing to the liver in primary biliary cirrhosis and primary sclerosing cholangitis;YES;YES;
;39;CD49a Expression Defines Tissue-Resident CD8<sup>+</sup> T Cells Poised for Cytotoxic Function in Human Skin;NO;NO;This paper is about the role of CD49a expression in tissue-resident memory T cells in human skin and their relation to skin diseases like vitiligo and psoriasis, not PSC (Primary Sclerosing Cholangitis).
;40;Elevated interleukin-8 in bile of patients with primary sclerosing cholangitis.;YES;YES;This research investigates the role of elevated interleukin-8 in the bile of patients with PSC and its effects on disease pathogenesis, suggesting that IL8 may contribute to ongoing inflammation and fibrosis in PSC.
;41;Novel serum and bile protein markers predict primary sclerosing cholangitis disease severity and prognosis.;YES;YES;This research focuses on identifying novel protein biomarkers in serum and bile to predict disease severity and prognosis in patients with Primary Sclerosing Cholangitis (PSC).
;42;The neutrophil antimicrobial peptide cathelicidin promotes Th17 differentiation;NO;NO;This paper is about the role of the neutrophil antimicrobial peptide cathelicidin in promoting Th17 differentiation, which is not directly related to Primary Sclerosing Cholangitis (PSC).
;44;CD69 acts downstream of interferon-alpha/beta to inhibit S1P1 and lymphocyte egress from lymphoid organs;NO;NO;This paper is about immune system mechanisms, specifically how CD69 acts to inhibit lymphocyte egress from lymphoid organs, and does not focus on Primary Sclerosing Cholangitis (PSC).
;;CD69 acts downstream of interferon-alpha/beta to inhibit S1P1 and lymphocyte egress from lymphoid organs;NO;NO;This paper is about immune system mechanisms, specifically how CD69 acts to inhibit lymphocyte egress from lymphoid organs, and does not focus on Primary Sclerosing Cholangitis (PSC).
;;CD69 acts downstream of interferon-alpha/beta to inhibit S1P1 and lymphocyte egress from lymphoid organs;NO;NO;This paper is about immune system mechanisms, specifically how CD69 acts to inhibit lymphocyte egress from lymphoid organs, and does not focus on Primary Sclerosing Cholangitis (PSC).
;45;Memory T cells in nonlymphoid tissue that provide enhanced local immunity during infection with herpes simplex virus;NO;NO;This paper is about memory T cells in nonlymphoid tissues providing immunity during herpes simplex virus infection, not about Primary Sclerosing Cholangitis (PSC).
;46;Human MAIT cells are xenobiotic-resistant, tissue-targeted, CD161hi IL-17-secreting T cells.;NO;NO;The paper discusses the characteristics of MAIT cells, particularly their antimicrobial properties and resistance to chemotherapy, without focusing on Primary Sclerosing Cholangitis (PSC).
;47;Hepatic endothelial CCL25 mediates the recruitment of CCR9+ gut-homing lymphocytes to the liver in primary sclerosing cholangitis;YES;YES;The research investigates the mechanism by which gut-homing lymphocytes are recruited to the liver in PSC, highlighting the role of CCL25 and its potential connection to inflammatory bowel disease.
;48;Gut homing receptors on CD8 T cells are retinoic acid dependent and not maintained by liver dendritic or stellate cells;YES;YES;This research investigates the mechanisms of T-cell migration between the gut and liver, particularly in the context of primary sclerosing cholangitis (PSC) and its relationship with gut dendritic cells and retinoic acid-dependent imprinting.
;49;CXCR3-dependent recruitment and CCR6-mediated positioning of Th-17 cells in the inflamed liver;YES;YES;The paper investigates the recruitment and positioning of Th17 cells in the liver, which is relevant to PSC as it is a liver disease often involving inflammatory processes around the bile ducts.
;50;Cytokines IL-17 and IL-22 in the host response to infection;NO;NO;This paper focuses on the roles of cytokines IL-17 and IL-22 in the host response to infections and various inflammatory diseases, but it does not specifically address Primary Sclerosing Cholangitis (PSC).
;;Digitoxin metabolism by rat liver microsomes;NO;NO;The paper focuses on the metabolism of digitoxin by rat liver microsomes, not on Primary Sclerosing Cholangitis (PSC).
;52;Th17 cells and IL-17 receptor signaling are essential for mucosal host defense against oral candidiasis.;No;No;This paper investigates the role of Th17 cells and IL-17 receptor signaling in host defense against oral candidiasis, not related to Primary Sclerosing Cholangitis (PSC).
;53;Bile-Derived Organoids From Patients With Primary Sclerosing Cholangitis Recapitulate Their Inflammatory Immune Profile;YES;YES;The research investigates the potential of bile-derived organoids from PSC patients to replicate their inflammatory immune profile, providing a platform for studying PSC pathogenesis and potential therapies.
;54;Interleukin-17 signaling in inflammatory, Kupffer cells, and hepatic stellate cells exacerbates liver fibrosis in mice.;NO;NO;"This paper focuses on the role of IL-17 signaling in liver fibrosis using mouse models; it does not specifically address Primary Sclerosing Cholangitis (PSC)."
;55;Periductal interleukin-17 production in association with biliary innate immunity contributes to the pathogenesis of cholangiopathy in primary biliary cirrhosis.;NO;NO;The paper is about primary biliary cirrhosis (PBC), not primary sclerosing cholangitis (PSC).
;56;Increased T helper type 17 response to pathogen stimulation in patients with primary sclerosing cholangitis;YES;YES;This research investigates the increased Th17 immune response to pathogen stimulation in patients with Primary Sclerosing Cholangitis (PSC), highlighting its potential role in disease pathogenesis.
;57;Composition and functionality of the intrahepatic innate lymphoid cell-compartment in human nonfibrotic and fibrotic livers;YES;NO;The paper focuses on the role of innate lymphoid cells in liver fibrosis, but it does not specifically mention Primary Sclerosing Cholangitis (PSC), a specific liver disease.
;;Full-length RNA-seq from single cells using Smart-seq2;NO;NO;This paper is about a method for single-cell RNA sequencing called Smart-seq2, and it does not specifically address or relate to research on the disease Primary Sclerosing Cholangitis.
;;Tn5 transposase and tagmentation procedures for massively scaled sequencing projects.;NO;NO;This paper is about DNA sequencing technology and tagmentation procedures, not about research related to Primary Sclerosing Cholangitis (PSC).
;61;PGC-1alpha-responsive genes involved in oxidative phosphorylation are coordinately downregulated in human diabetes.;NO;NO;The paper focuses on the downregulation of genes related to oxidative phosphorylation in human diabetes, not on Primary Sclerosing Cholangitis.
;;Multiplex, quantitative cellular analysis in large tissue volumes with clearing-enhanced 3D microscopy (C<sub>e</sub>3D).;NO;NO;This paper is about a new microscopy method for analyzing tissues in 3D using clearing-enhanced techniques. It does not specifically mention or focus on Primary Sclerosing Cholangitis (PSC).
;65;An improved dual-indexing approach for multiplexed 16S rRNA gene sequencing on the Illumina MiSeq platform.;NO;NO;This paper is about improved methods for sequencing 16S rRNA gene to assess microbial communities, not directly about PSC research.
;67;BBMerge - Accurate paired shotgun read merging via overlap;NO;NO;This paper is about a bioinformatics tool called BBMerge for merging paired-end shotgun sequencing reads and does not discuss Primary Sclerosing Cholangitis (PSC).
;68;Deblur Rapidly Resolves Single-Nucleotide Community Sequence Patterns.;NO;No;This paper is about improving the accuracy of microbial community analysis using high-throughput sequencing, and it does not specifically pertain to research on Primary Sclerosing Cholangitis (PSC).
;71;The SILVA ribosomal RNA gene database project: improved data processing and web-based tools;NO;NO;This paper focuses on describing the SILVA ribosomal RNA gene database project, which is not directly related to research on Primary Sclerosing Cholangitis (PSC).
;72;QuPath: Open source software for digital pathology image analysis;NO;NO;This paper is about software for digital pathology image analysis, not specific to any disease like Primary Sclerosing Cholangitis (PSC).
